,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes
589,565548,373925,mobile,ended,-10.0,,
590,565581,374698,mobile,ended,-16.0,,
591,565675,318715,mobile,ended,107.0,,
592,565927,173376,mobile,ended,49.0,,
593,566027,414498,mobile,ended,32.0,,
594,566069,376311,connect,canceled,,,
595,566097,389035,mobile,canceled,,,
596,566123,404483,mobile,ended,142.0,,
597,566273,375908,mobile,ended,44.0,,
598,566292,414708,mobile,ended,48.0,,
599,566331,328506,mobile,ended,-97.0,,
600,566385,211860,connect,ended,58.0,,
601,566551,334671,mobile,ended,25.0,,
602,566661,390467,connect,ended,-651.0,569297.0,570.0
603,566682,293785,mobile,ended,66.0,,
604,566691,374921,mobile,ended,243.0,,
605,566709,313772,connect,ended,-73.0,,
606,566762,407907,mobile,ended,16.0,,
607,566797,386498,mobile,ended,349.0,,
608,566908,164960,connect,ended,-44.0,,
609,566921,298388,mobile,ended,28.0,,
610,567107,228776,mobile,canceled,,,
611,567120,415953,mobile,ended,27.0,567178.0,150.0
612,567208,268798,mobile,ended,41.0,,
613,567278,241021,connect,ended,-425.0,563925.0,240.0
614,567353,381940,mobile,canceled,,,
615,567365,279764,mobile,ended,-35.0,,
616,567423,402980,connect,ended,-125.0,,
617,567424,414349,mobile,ended,59.0,,
618,567433,401968,mobile,ended,100.0,,
619,567442,410939,connect,ended,-353.0,,
620,567446,366025,mobile,ended,-29.0,,
621,567610,399205,mobile,ended,22.0,,
622,567636,376840,connect,ended,101.0,564959.0,0.0
623,567638,307364,connect,canceled,,,
624,567654,358772,connect,ended,-90.0,,
625,567773,314572,mobile,ended,21.0,,
626,567774,396250,mobile,ended,4265.0,,
627,567777,296295,mobile,ended,30.0,,
628,567828,402779,connect,canceled,,,
629,567980,381223,mobile,ended,,,
630,568026,214007,mobile,canceled,,,
631,568110,412131,mobile,ended,,,
632,568168,345738,mobile,ended,58.0,,
633,568188,279378,mobile,canceled,,,
634,568206,412469,mobile,ended,-12.0,,
635,568342,196898,mobile,ended,,,
636,568629,283479,mobile,ended,,,
637,568657,317378,connect,canceled,,566412.0,210.0
638,568817,314605,mobile,ended,43.0,565775.0,360.0
639,568843,280795,mobile,ended,,,
640,568964,178204,mobile,ended,,,
641,569081,291932,connect,ended,-19.0,,
642,569133,415843,mobile,ended,90.0,,
643,569176,410396,mobile,ended,67.0,,
644,569498,402528,connect,ended,-173.0,562527.0,630.0
645,570153,159536,mobile,ended,-685.0,,
646,570186,372609,mobile,ended,76.0,,
